episode_key,sequence_id,athlete_name,episode_id,path_signature,step_index,step_hidden_state,step_observed_feature,confidence
48::Лушников А.О.::8::15,48::Лушников А.О.,Лушников А.О.,8,S1->S2->S3->O0,4,O,O0,1.0
48::Лушников А.О.::9::16,48::Лушников А.О.,Лушников А.О.,9,S1->S2->S3->O0,1,S1,x_s1_ps=0.0000;x_s1_ls=0.0000;delta_t=0.0000,1.0
48::Лушников А.О.::9::16,48::Лушников А.О.,Лушников А.О.,9,S1->S2->S3->O0,2,S2,captures=0.0000;holds=0.0000;wraps=0.0000;hooks=0.0000;posts=0.0000,1.0
48::Лушников А.О.::9::16,48::Лушников А.О.,Лушников А.О.,9,S1->S2->S3->O0,3,S3,x_s3_vup=5.0000,1.0
48::Лушников А.О.::9::16,48::Лушников А.О.,Лушников А.О.,9,S1->S2->S3->O0,4,O,O0,1.0
48::Лушников А.О.::10::17,48::Лушников А.О.,Лушников А.О.,10,S1->S2->S3->O0,1,S1,x_s1_ps=0.0000;x_s1_ls=0.0000;delta_t=0.0000,1.0
48::Лушников А.О.::10::17,48::Лушников А.О.,Лушников А.О.,10,S1->S2->S3->O0,2,S2,captures=0.0000;holds=0.0000;wraps=0.0000;hooks=0.0000;posts=0.0000,1.0
48::Лушников А.О.::10::17,48::Лушников А.О.,Лушников А.О.,10,S1->S2->S3->O0,3,S3,x_s3_vup=0.0000,1.0
48::Лушников А.О.::10::17,48::Лушников А.О.,Лушников А.О.,10,S1->S2->S3->O0,4,O,O0,1.0
48::Аглиуллин Э.Р.::1::18,48::Аглиуллин Э.Р.,Аглиуллин Э.Р.,1,S1->S2->S3->O0,1,S1,x_s1_ps=0.0000;x_s1_ls=0.0000;delta_t=0.0000,1.0
48::Аглиуллин Э.Р.::1::18,48::Аглиуллин Э.Р.,Аглиуллин Э.Р.,1,S1->S2->S3->O0,2,S2,captures=0.0000;holds=0.0000;wraps=0.0000;hooks=0.0000;posts=0.0000,1.0
48::Аглиуллин Э.Р.::1::18,48::Аглиуллин Э.Р.,Аглиуллин Э.Р.,1,S1->S2->S3->O0,3,S3,x_s3_vup=5.0000,1.0
48::Аглиуллин Э.Р.::1::18,48::Аглиуллин Э.Р.,Аглиуллин Э.Р.,1,S1->S2->S3->O0,4,O,O0,1.0
48::Аглиуллин Э.Р.::2::19,48::Аглиуллин Э.Р.,Аглиуллин Э.Р.,2,S1->S2->S3->O0,1,S1,x_s1_ps=0.0000;x_s1_ls=0.0000;delta_t=0.0000,1.0
48::Аглиуллин Э.Р.::2::19,48::Аглиуллин Э.Р.,Аглиуллин Э.Р.,2,S1->S2->S3->O0,2,S2,captures=0.0000;holds=0.0000;wraps=3.0000;hooks=0.0000;posts=0.0000,1.0
48::Аглиуллин Э.Р.::2::19,48::Аглиуллин Э.Р.,Аглиуллин Э.Р.,2,S1->S2->S3->O0,3,S3,x_s3_vup=0.0000,1.0
48::Аглиуллин Э.Р.::2::19,48::Аглиуллин Э.Р.,Аглиуллин Э.Р.,2,S1->S2->S3->O0,4,O,O0,1.0
48::Аглиуллин Э.Р.::3::20,48::Аглиуллин Э.Р.,Аглиуллин Э.Р.,3,S1->S2->S3->O0,1,S1,x_s1_ps=0.0000;x_s1_ls=0.0000;delta_t=0.0000,1.0
48::Аглиуллин Э.Р.::3::20,48::Аглиуллин Э.Р.,Аглиуллин Э.Р.,3,S1->S2->S3->O0,2,S2,captures=0.0000;holds=0.0000;wraps=0.0000;hooks=0.0000;posts=0.0000,1.0
48::Аглиуллин Э.Р.::3::20,48::Аглиуллин Э.Р.,Аглиуллин Э.Р.,3,S1->S2->S3->O0,3,S3,x_s3_vup=5.0000,1.0
48::Аглиуллин Э.Р.::3::20,48::Аглиуллин Э.Р.,Аглиуллин Э.Р.,3,S1->S2->S3->O0,4,O,O0,1.0
48::Аглиуллин Э.Р.::4::21,48::Аглиуллин Э.Р.,Аглиуллин Э.Р.,4,S1->S2->S3->O0,1,S1,x_s1_ps=0.0000;x_s1_ls=0.0000;delta_t=0.0000,1.0
48::Аглиуллин Э.Р.::4::21,48::Аглиуллин Э.Р.,Аглиуллин Э.Р.,4,S1->S2->S3->O0,2,S2,captures=0.0000;holds=0.0000;wraps=0.0000;hooks=0.0000;posts=0.0000,1.0
48::Аглиуллин Э.Р.::4::21,48::Аглиуллин Э.Р.,Аглиуллин Э.Р.,4,S1->S2->S3->O0,3,S3,x_s3_vup=0.0000,1.0
48::Аглиуллин Э.Р.::4::21,48::Аглиуллин Э.Р.,Аглиуллин Э.Р.,4,S1->S2->S3->O0,4,O,O0,1.0
48::Аглиуллин Э.Р.::5::22,48::Аглиуллин Э.Р.,Аглиуллин Э.Р.,5,S1->S2->S3->O0,1,S1,x_s1_ps=0.0000;x_s1_ls=0.0000;delta_t=0.0000,1.0
48::Аглиуллин Э.Р.::5::22,48::Аглиуллин Э.Р.,Аглиуллин Э.Р.,5,S1->S2->S3->O0,2,S2,captures=0.0000;holds=0.0000;wraps=0.0000;hooks=0.0000;posts=0.0000,1.0
48::Аглиуллин Э.Р.::5::22,48::Аглиуллин Э.Р.,Аглиуллин Э.Р.,5,S1->S2->S3->O0,3,S3,x_s3_vup=0.0000,1.0
48::Аглиуллин Э.Р.::5::22,48::Аглиуллин Э.Р.,Аглиуллин Э.Р.,5,S1->S2->S3->O0,4,O,O0,1.0
